"id"|"""date"""|"jour"|"saison"|"recettes"|"semainier"|"notes"|"ouverture"|"cloture"|"page_de_gauche"
27710|1725-11-12|Lundi|"1725-1726"|1439|Fontenay|""|false|false|
27724|1725-11-30|Vendredi|"1725-1726"|514|Dumirail|""|false|false|
25127|1728-05-30|Dimanche|"1728-1729"|341|""|""|false|false|
27721|1725-11-27|Mardi|"1725-1726"|196|Dumirail|""|false|false|
27738|1725-12-17|Lundi|"1725-1726"|602|Fontenay|""|false|false|
27741|1725-12-20|Jeudi|"1725-1726"|695|Fontenay|""|false|false|
27743|1725-12-22|Samedi|"1725-1726"|876|Fontenay|""|false|false|
27752|1726-01-02|Mercredi|"1725-1726"|1072|Duchemin|""|false|false|
27757|1726-01-07|Lundi|"1725-1726"|1694|Dumirail|""|false|false|
25793|1732-07-29|Mardi|"1732-1733"|397|Dubreuil|"""On a donné hier relâche au Théâtre pour avoir été jouer les [...] chez S. a. S. madame la duchesse."""|false|false|
27765|1726-01-15|Mardi|"1725-1726"|449|Dumirail|""|false|false|
24797|1727-05-10|Samedi|"1727-1728"|150|Dumirail|""|false|false|
24796|1727-05-09|Vendredi|"1727-1728"|33|Fontenay|""|false|false|
24794|1727-05-07|Mercredi|"1727-1728"|504|Fontenay|""|false|false|
24793|1727-05-06|Mardi|"1727-1728"|314|Fontenay|""|false|false|
24791|1727-05-04|Dimanche|"1727-1728"|120|Fontenay|""|false|false|
24790|1727-05-03|Samedi|"1727-1728"|1723|Fontenay|""|false|false|
24788|1727-05-01|Jeudi|"1727-1728"|854|Armand|""|false|false|
24787|1727-04-30|Mercredi|"1727-1728"|349|Armand|""|false|false|
24786|1727-04-29|Mardi|"1727-1728"|309|Armand|""|false|false|
24784|1727-04-27|Dimanche|"1727-1728"|1224|Dumirail|""|false|false|
24782|1727-04-25|Vendredi|"1727-1728"|619|du Breuil|""|false|false|
24780|1727-04-23|Mercredi|"1727-1728"|1220|Poisson|""|false|false|
24779|1727-04-22|Mardi|"1727-1728"|263|Dumirail|""|false|false|
24799|1727-05-12|Lundi|"1727-1728"|305|Delathorillière fils|""|false|false|
24801|1727-05-14|Mercredi|"1727-1728"|134|Delathorillière fils|""|false|false|
24889|1727-08-25|Lundi|"1727-1728"|236|""|""|false|false|
24872|1727-07-29|Mardi|"1727-1728"|113|""|""|false|false|
24874|1727-07-31|Jeudi|"1727-1728"|102|""|""|false|false|
24875|1727-08-01|Vendredi|"1727-1728"|38|""|""|false|false|
24879|1727-08-08|Vendredi|"1727-1728"|63|""|"""On a donné relâche au théâtre pendant trois jours"""|false|false|
24881|1727-08-10|Dimanche|"1727-1728"|304|""|""|false|false|
24883|1727-08-13|Mercredi|"1727-1728"|365|""|"""On a donné hier relâche au théâtre à cause du voyage de Versailles"""|false|false|
24885|1727-08-17|Dimanche|"1727-1728"|73|""|""|false|false|
24887|1727-08-23|Samedi|"1727-1728"|202|""|"""On a donné hier relâche au théâtre"""|false|false|
24851|1727-07-07|Lundi|"1727-1728"|1515|""|""|false|false|
24853|1727-07-09|Mercredi|"1727-1728"|1908|""|""|false|false|
24855|1727-07-11|Vendredi|"1727-1728"|1210|""|""|false|false|
24856|1727-07-12|Samedi|"1727-1728"|259|""|""|false|false|
24858|1727-07-14|Lundi|"1727-1728"|62|""|""|false|false|
24860|1727-07-16|Mercredi|"1727-1728"|222|""|""|false|false|
24842|1727-06-28|Samedi|"1727-1728"|400|Dumirail|""|false|false|
24877|1727-08-03|Dimanche|"1727-1728"|298|""|""|false|false|
24848|1727-07-04|Vendredi|"1727-1728"|239|""|""|false|false|
24846|1727-07-02|Mercredi|"1727-1728"|93|""|""|false|false|
24845|1727-07-01|Mardi|"1727-1728"|433|""|""|false|false|
24840|1727-06-26|Jeudi|"1727-1728"|169|Dumirail|""|false|false|
24839|1727-06-25|Mercredi|"1727-1728"|127|Dumirail|""|false|false|
24837|1727-06-23|Lundi|"1727-1728"|137|Dumirail|""|false|false|
24828|1727-06-14|Samedi|"1727-1728"|139|Fontenay|""|false|false|
24826|1727-06-11|Mercredi|"1727-1728"|792|Fontenay|""|false|false|
24823|1727-06-08|Dimanche|"1727-1728"|352|Armand|""|false|false|
24822|1727-06-07|Samedi|"1727-1728"|1212|Armand|""|false|false|
24817|1727-06-02|Lundi|"1727-1728"|406|Armand|"""On a donné avant-hier et hier relâche au théâtre"""|false|false|
24815|1727-05-28|Mercredi|"1727-1728"|39|Dumirail|""|false|false|
24814|1727-05-27|Mardi|"1727-1728"|660|Dumirail|""|false|false|
24812|1727-05-26|Lundi|"1727-1728"|420|Dumirail|""|false|false|
24811|1727-05-25|Dimanche|"1727-1728"|440|Dumirail|""|false|false|
24810|1727-05-24|Samedi|"1727-1728"|114|Dumirail|""|false|false|
24807|1727-05-20|Mardi|"1727-1728"|144|Dumirail|""|false|false|
24806|1727-05-19|Lundi|"1727-1728"|337|Dumirail|""|false|false|
24870|1727-07-27|Dimanche|"1727-1728"|340|Delathorillière fils|""|false|false|
24804|1727-05-17|Samedi|"1727-1728"|306|Delathorillière fils|""|false|false|
24830|1727-06-16|Lundi|"1727-1728"|81|Delathorillière fils|""|false|false|
24832|1727-06-18|Mercredi|"1727-1728"|308|Delathorillière fils|""|false|false|
24834|1727-06-20|Vendredi|"1727-1728"|266|Delathorillière fils|""|false|false|
24836|1727-06-22|Dimanche|"1727-1728"|490|Delathorillière fils|""|false|false|
24866|1727-07-23|Mercredi|"1727-1728"|372|Delathorillière fils|""|false|false|
24976|1727-11-27|Jeudi|"1727-1728"|359|""|""|false|false|
24977|1727-11-28|Vendredi|"1727-1728"|232|""|""|false|false|
24972|1727-11-23|Dimanche|"1727-1728"|930|Dumirail|""|false|false|
24960|1727-11-11|Mardi|"1727-1728"|1488|Dumirail|""|false|false|
24962|1727-11-13|Jeudi|"1727-1728"|177|Dumirail|""|false|false|
24965|1727-11-16|Dimanche|"1727-1728"|533|Dumirail|""|false|false|
24967|1727-11-18|Mardi|"1727-1728"|152|""|""|false|false|
24968|1727-11-19|Mercredi|"1727-1728"|639|""|""|false|false|
24970|1727-11-21|Vendredi|"1727-1728"|385|""|""|false|false|
24938|1727-10-19|Dimanche|"1727-1728"|950|""|""|false|false|
24940|1727-10-21|Mardi|"1727-1728"|448|""|""|false|false|
24941|1727-10-22|Mercredi|"1727-1728"|254|""|""|false|false|
24943|1727-10-24|Vendredi|"1727-1728"|879|""|""|false|false|
24913|1727-09-22|Lundi|"1727-1728"|524|""|""|false|false|
24862|1727-07-19|Samedi|"1727-1728"|571|""|"""On a donné hier relâche au théâtre"""|false|false|
24936|1727-10-17|Vendredi|"1727-1728"|956|""|""|false|false|
24949|1727-10-30|Jeudi|"1727-1728"|432|Fontenay|""|false|false|
24915|1727-09-24|Mercredi|"1727-1728"|623|""|""|false|false|
24916|1727-09-25|Jeudi|"1727-1728"|64|""|""|false|false|
24918|1727-09-28|Dimanche|"1727-1728"|276|""|""|false|false|
24923|1727-10-03|Vendredi|"1727-1728"|299|""|""|false|false|
24925|1727-10-05|Dimanche|"1727-1728"|1076|""|""|false|false|
24927|1727-10-08|Mercredi|"1727-1728"|628|""|""|false|false|
24928|1727-10-09|Jeudi|"1727-1728"|1100|""|""|false|false|
24930|1727-10-11|Samedi|"1727-1728"|636|""|""|false|false|
24931|1727-10-12|Dimanche|"1727-1728"|1428|""|""|false|false|
24911|1727-09-20|Samedi|"1727-1728"|428|Armand|""|false|false|
24910|1727-09-19|Vendredi|"1727-1728"|88|Armand|""|false|false|
24895|1727-09-03|Mercredi|"1727-1728"|621|Dumirail|""|false|false|
24893|1727-08-31|Dimanche|"1727-1728"|370|""|""|false|false|
24897|1727-09-06|Samedi|"1727-1728"|314|Dumirail|"""On a donné hier relâche au théâtre"""|false|false|
24900|1727-09-10|Mercredi|"1727-1728"|305|""|""|false|false|
24901|1727-09-11|Jeudi|"1727-1728"|2115|""|""|false|false|
24906|1727-09-15|Lundi|"1727-1728"|260|Armand|""|false|false|
24907|1727-09-16|Mardi|"1727-1728"|78|Armand|""|false|false|
24896|1727-09-04|Jeudi|"1727-1728"|81|Dumirail|""|false|false|
24953|1727-11-04|Mardi|"1727-1728"|732|Delathorillière fils|""|false|false|
24921|1727-10-01|Mercredi|"1727-1728"|338|Delathorillière fils|""|false|false|
24920|1727-09-30|Mardi|"1727-1728"|380|Delathorillière fils|""|false|false|
25059|1728-03-05|Vendredi|"1727-1728"|242|""|"""On a donné hier relâche au théâtre pour aller à la Cour"""|false|false|
25039|1728-02-08|Dimanche|"1727-1728"|1030|Armand|""|false|false|
25042|1728-02-11|Mercredi|"1727-1728"|914|Fontenay|""|false|false|
25046|1728-02-15|Dimanche|"1727-1728"|1043|""|""|false|false|
25050|1728-02-21|Samedi|"1727-1728"|1377|""|""|false|false|
25052|1728-02-23|Lundi|"1727-1728"|1032|Dumirail|""|false|false|
25054|1728-02-27|Vendredi|"1727-1728"|144|Dumirail|"""On a donné hier relâche au théâtre pour aller représenter à Versailles"""|false|false|
25057|1728-03-01|Lundi|"1727-1728"|1353|Fontenay|""|false|false|
25023|1728-01-22|Jeudi|"1727-1728"|1743|""|""|false|false|
25026|1728-01-25|Dimanche|"1727-1728"|1607|""|""|false|false|
25028|1728-01-27|Mardi|"1727-1728"|574|""|""|false|false|
25029|1728-01-28|Mercredi|"1727-1728"|1046|Poisson|""|false|false|
25031|1728-01-30|Vendredi|"1727-1728"|385|""|""|false|false|
25035|1728-02-04|Mercredi|"1727-1728"|349|Armand|""|false|false|
25036|1728-02-05|Jeudi|"1727-1728"|1019|Armand|""|false|false|
25037|1728-02-06|Vendredi|"1727-1728"|222|Armand|""|false|false|
25045|1728-02-14|Samedi|"1727-1728"|625|Fontenay|""|false|false|
25006|1728-01-05|Lundi|"1727-1728"|452|Fontenay|""|false|false|
25007|1728-01-06|Mardi|"1727-1728"|942|Fontenay|""|false|false|
25009|1728-01-08|Jeudi|"1727-1728"|587|Fontenay|""|false|false|
27134|1742-02-01|Jeudi|"1741-1742"|117|""|""|false|false|Distribution
27222|1721-06-13|Vendredi|"1721-1722"|492|""|"""On donna hier relâche au Théâtre par rapport à la Fête-Dieu."" "|false|false|Distribution
24903|1727-09-13|Samedi|"1727-1728"|154|""|""|false|false|
25061|1728-03-07|Dimanche|"1727-1728"|1112|""|""|false|false|
25063|1728-03-11|Jeudi|"1727-1728"|2197|Dumirail|"""On a donné hier relâche au théâtre pour aller représenter à la Cour"""|false|false|
25012|1728-01-11|Dimanche|"1727-1728"|969|Fontenay|""|false|false|
25013|1728-01-12|Lundi|"1727-1728"|561|""|""|false|false|
25015|1728-01-14|Mercredi|"1727-1728"|626|""|""|false|false|
25017|1728-01-16|Vendredi|"1727-1728"|419|""|""|false|false|
25024|1728-01-23|Vendredi|"1727-1728"|100|""|""|false|false|
25002|1728-01-01|Jeudi|"1727-1728"|1154|""|""|false|false|
25001|1727-12-31|Mercredi|"1727-1728"|2313|du Breuil|""|false|false|
24999|1727-12-28|Dimanche|"1727-1728"|2242|""|""|false|false|
24980|1727-12-01|Lundi|"1727-1728"|909|""|""|false|false|
24983|1727-12-06|Samedi|"1727-1728"|474|""|""|false|false|
24988|1727-12-14|Dimanche|"1727-1728"|893|""|"""On a donné hier relâche au théâtre pour aller représenter à la Cour"""|false|false|
24989|1727-12-15|Lundi|"1727-1728"|1145|Duchemin |""|false|false|
24991|1727-12-18|Jeudi|"1727-1728"|106|""|""|false|false|
24993|1727-12-20|Samedi|"1727-1728"|2281|""|""|false|false|
24994|1727-12-21|Dimanche|"1727-1728"|664|""|""|false|false|
24996|1727-12-23|Mardi|"1727-1728"|247|""|""|false|false|
25033|1728-02-01|Dimanche|"1727-1728"|1556|Delathorillière fils|""|false|false|
25021|1728-01-20|Mardi|"1727-1728"|421|Delathorillière fils|""|false|false|
25004|1728-01-03|Samedi|"1727-1728"|1076|Delathorillière fils|""|false|false|
24986|1727-12-10|Mercredi|"1727-1728"|1452|Delathorillière fils|""|false|false|
25040|1728-02-09|Lundi|"1727-1728"|1737|Delathorillière  |""|false|false|
25139|1728-06-14|Lundi|"1728-1729"|467|""|""|false|false|
27203|1721-05-23|Vendredi|"1721-1722"|566|Duboccage|On donna hier relâche au Théâtre pour la fête de l'Ascension|false|false|Distribution
25078|1728-04-06|Mardi|"1728-1729"|1168|""|"""Semainiers Mrs Baron, Fontenay p."""|true|false|
25085|1728-04-13|Mardi|"1728-1729"|378|""|""|false|false|
25120|1728-05-22|Samedi|"1728-1729"|480|""|"""On a donné hier relâche au Théâtre."""|false|false|
25103|1728-05-01|Samedi|"1728-1729"|2355|""|"""On a donné hier relâche au théâtre"""|false|false|
25079|1728-04-07|Mercredi|"1728-1729"|603|""|""|false|false|
25081|1728-04-09|Vendredi|"1728-1729"|357|""|""|false|false|
25083|1728-04-11|Dimanche|"1728-1729"|375|""|""|false|false|
25087|1728-04-15|Jeudi|"1728-1729"|175|""|""|false|false|
25088|1728-04-16|Vendredi|"1728-1729"|761|""|""|false|false|
25090|1728-04-18|Dimanche|"1728-1729"|419|""|""|false|false|
25091|1728-04-19|Lundi|"1728-1729"|392|""|""|false|false|
25093|1728-04-21|Mercredi|"1728-1729"|812|""|""|false|false|
25094|1728-04-22|Jeudi|"1728-1729"|61|""|""|false|false|
25096|1728-04-24|Samedi|"1728-1729"|84|""|""|false|false|
25099|1728-04-26|Lundi|"1728-1729"|46|""|""|false|false|
25101|1728-04-28|Mercredi|"1728-1729"|2020|Defontenay|""|false|false|
25105|1728-05-03|Lundi|"1728-1729"|412|""|""|false|false|
25106|1728-05-04|Mardi|"1728-1729"|374|""|""|false|false|
25109|1728-05-08|Samedi|"1728-1729"|1125|""|""|false|false|
25110|1728-05-09|Dimanche|"1728-1729"|328|""|""|false|false|
25111|1728-05-10|Lundi|"1728-1729"|257|Defontenay|""|false|false|
25113|1728-05-12|Mercredi|"1728-1729"|78|""|""|false|false|
27435|1722-01-25|Dimanche|"1721-1722"|1390|Duboccage|"""On donna hier relâche au Théâtre pour représenter Romulus devant Sa majesté"" "|false|false|Distribution
25167|1728-07-17|Samedi|"1728-1729"|1174|""|"""On a donné hier relâche au Théâtre."""|false|false|
25207|1728-09-02|Jeudi|"1728-1729"|151|""|""|false|false|
25196|1728-08-21|Samedi|"1728-1729"|553|""|On a donné hier relâche au Théâtre.|false|false|
25202|1728-08-28|Samedi|"1728-1729"|561|""|"""On a donné hier relâche au Théâtre"""|false|false|
25128|1728-05-31|Lundi|"1728-1729"|244|""|"""Semainiers Mrs Poisson p. Dubreuil p., Duchemin p."" (p.=payé)"|false|false|
25212|1728-09-09|Jeudi|"1728-1729"|337|""|"""On a donné hier relâche au Théâtre"""|false|false|
25130|1728-06-04|Vendredi|"1728-1729"|283|""|""|false|false|
25132|1728-06-06|Dimanche|"1728-1729"|157|""|""|false|false|
25134|1728-06-08|Mardi|"1728-1729"|255|""|""|false|false|
25123|1728-05-25|Mardi|"1728-1729"|255|""|""|false|false|
25136|1728-06-10|Jeudi|"1728-1729"|82|""|""|false|false|
25138|1728-06-13|Dimanche|"1728-1729"|793|""|""|false|false|
25142|1728-06-17|Jeudi|"1728-1729"|262|""|""|false|false|
25144|1728-06-20|Dimanche|"1728-1729"|185|""|""|false|false|
25145|1728-06-21|Lundi|"1728-1729"|1453|""|""|false|false|
25147|1728-06-23|Mercredi|"1728-1729"|616|""|""|false|false|
25148|1728-06-24|Jeudi|"1728-1729"|349|""|""|false|false|
25150|1728-06-26|Samedi|"1728-1729"|741|""|""|false|false|
25151|1728-06-27|Dimanche|"1728-1729"|279|""|""|false|false|
25156|1728-07-04|Dimanche|"1728-1729"|60|""|""|false|false|
25158|1728-07-06|Mardi|"1728-1729"|557|""|""|false|false|
25160|1728-07-08|Jeudi|"1728-1729"|143|""|""|false|false|
25162|1728-07-11|Dimanche|"1728-1729"|106|""|""|false|false|
25163|1728-07-12|Lundi|"1728-1729"|64|""|"""Semainiers Mrs Lathorillière père payé, Dangeville p., Armand payé"""|false|false|
25157|1728-07-05|Lundi|"1728-1729"|45|""|"""Semainiers Mrs Poisson payé, Dubreuil payé, Duchemin fils payé"" "|false|false|
25166|1728-07-15|Jeudi|"1728-1729"|350|""|""|false|false|
25169|1728-07-19|Lundi|"1728-1729"|491|""|""|false|false|
25170|1728-07-20|Mardi|"1728-1729"|78|""|""|false|false|
25174|1728-07-25|Dimanche|"1728-1729"|356|""|""|false|false|
25175|1728-07-26|Lundi|"1728-1729"|123|""|""|false|false|
25176|1728-07-27|Mardi|"1728-1729"|343|""|""|false|false|
25178|1728-07-29|Jeudi|"1728-1729"|95|""|""|false|false|
25180|1728-08-01|Dimanche|"1728-1729"|2303|Du Chemin|""|false|false|
25181|1728-08-02|Lundi|"1728-1729"|958|Du Chemin|"""Semainiers Mrs Quinault, Le Grand, Du Mirail"""|false|false|
25183|1728-08-04|Mercredi|"1728-1729"|1692|""|""|false|false|
25184|1728-08-05|Jeudi|"1728-1729"|649|""|""|false|false|
25186|1728-08-07|Samedi|"1728-1729"|1095|Du Chemin|""|false|false|
25187|1728-08-08|Dimanche|"1728-1729"|696|""|""|false|false|
25189|1728-08-10|Mardi|"1728-1729"|123|""|""|false|false|
25191|1728-08-12|Jeudi|"1728-1729"|64|""|""|false|false|
25198|1728-08-23|Lundi|"1728-1729"|305|""|"""Semainiers Mrs Baron payé, Montmeny payé"""|false|false|
25199|1728-08-24|Mardi|"1728-1729"|608|""|""|false|false|
25200|1728-08-25|Mercredi|"1728-1729"|397|""|""|false|false|
25205|1728-08-31|Mardi|"1728-1729"|84|""|""|false|false|
25204|1728-08-30|Lundi|"1728-1729"|533|""|"""Semainiers Mrs Dufresne, Du Chemin père payé, Lathorillière fils payé"""|false|false|
25209|1728-09-05|Dimanche|"1728-1729"|171|""|""|false|false|
25210|1728-09-06|Lundi|"1728-1729"|1075|""|""|false|false|
25215|1728-09-12|Dimanche|"1728-1729"|307|""|""|false|false|
25216|1728-09-13|Lundi|"1728-1729"|109|""|"""Semainiers Mrs Poisson payé, Dubreuil , Du Chemin fils payé"""|false|false|
25197|1728-08-22|Dimanche|"1728-1729"|170|""|""|false|false|
25217|1728-09-14|Mardi|"1728-1729"|255|""|""|false|false|
25280|1728-11-18|Jeudi|"1728-1729"|880|""|""|false|false|
25311|1728-12-26|Dimanche|"1728-1729"|1493|""|"On a donné hier et avant-hier relâche au Théâtre à cause de la fête de Noël"""|false|false|
25220|1728-09-18|Samedi|"1728-1729"|508|""|"""On a donné hier relâche au Théâtre"""|false|false|
25227|1728-09-25|Samedi|"1728-1729"|1270|""|""|false|false|
25234|1728-10-02|Samedi|"1728-1729"|1706|""|""|false|false|
25223|1728-09-21|Mardi|"1728-1729"|580|""|""|false|false|
25224|1728-09-22|Mercredi|"1728-1729"|624|""|""|false|false|
25225|1728-09-23|Jeudi|"1728-1729"|595|""|""|false|false|
25229|1728-09-27|Lundi|"1728-1729"|87|""|""|false|false|
25245|1728-10-13|Mercredi|"1728-1729"|2355|""|""|false|false|
25252|1728-10-20|Mercredi|"1728-1729"|1691|Dubreuil|""|false|false|
25231|1728-09-29|Mercredi|"1728-1729"|476|""|""|false|false|
25232|1728-09-30|Jeudi|"1728-1729"|284|""|""|false|false|
25236|1728-10-04|Lundi|"1728-1729"|573|""|"""Semainiers Mrs Delathorillière payé, Dufresne, Du Chemin père payé"""|false|false|
25238|1728-10-06|Mercredi|"1728-1729"|393|""|""|false|false|
25239|1728-10-07|Jeudi|"1728-1729"|389|""|""|false|false|
25243|1728-10-11|Lundi|"1728-1729"|262|Du Mirail|"""Semainiers Mrs Quinault, Le Grand, Du Mirail p."" (p.=payé)"|false|false|
25247|1728-10-15|Vendredi|"1728-1729"|192|""|""|false|false|
25248|1728-10-16|Samedi|"1728-1729"|727|""|""|false|false|
25250|1728-10-18|Lundi|"1728-1729"|656|""|"""Semainiers Mrs Dubreuil payé, Poisson payé, Lathorillière payé"""|false|false|
25254|1728-10-22|Vendredi|"1728-1729"|49|""|""|false|false|
25256|1728-10-24|Dimanche|"1728-1729"|1763|""|""|false|false|
25261|1728-10-29|Vendredi|"1728-1729"|702|""|""|false|false|
25262|1728-10-30|Samedi|"1728-1729"|344|""|""|false|false|
25265|1728-11-03|Mercredi|"1728-1729"|1126|""|""|false|false|
25266|1728-11-04|Jeudi|"1728-1729"|626|""|""|false|false|
25268|1728-11-06|Samedi|"1728-1729"|917|Dubreuil|""|false|false|
25270|1728-11-08|Lundi|"1728-1729"|639|""|"""Semainiers Mrs Dufresne payé, Duchemin payé, Lathorillière le fils payé"" "|false|false|
25273|1728-11-11|Jeudi|"1728-1729"|945|""|""|false|false|
25274|1728-11-12|Vendredi|"1728-1729"|360|""|""|false|false|
