"id_registre"|"id_place"|"description"|"loge"|"billets_vendus"|"prix_par_billet"|"recettes"
24806|86|Billet à|false|22|2|44
24806|87|Billet à|false|1|201|201
24806|88|Billet à|false|72|1|72
24807|85|Billet à|false|5|4|20
24807|86|Billet à|false|21|2|42
24807|88|Billet à|false|82|1|82
24808|85|Billet à|false|14|4|56
24808|86|Billet à|false|19|2|38
24808|88|Billet à|false|74|1|74
24809|85|Billet à|false|4|4|16
24809|86|Billet à|false|6|2|12
24809|87|Billet à|false|1|201|201
24809|88|Billet à|false|31|1|31
24810|87|Billet à|false|2|201|3
24810|86|Billet à|false|22|2|44
24810|85|Billet à|false|5|4|20
24810|88|Billet à|false|47|1|47
24811|88|Billet à|false|118|1|118
24811|87|Billet à|false|11|201|216
24811|86|Billet à|false|35|2|70
24811|85|Billet à|false|9|4|36
24812|87|Billet à|false|7|201|210
24812|86|Billet à|false|28|2|56
24812|85|Billet à|false|13|4|52
24812|88|Billet à|false|102|1|102
24814|85|Billet à|false|38|4|152
24814|83|Loge basse|true|1|32|32
24814|86|Billet à|false|57|2|114
24814|87|Billet à|false|9|201|213
24814|88|Billet à|false|149|1|149
24815|88|Billet à|false|21|1|21
24815|86|Billet à|false|7|2|14
24815|85|Billet à|false|1|4|4
24816|86|Billet à|false|2|2|4
24816|87|Billet à|false|6|201|9
24816|88|Billet à|false|27|1|27
24817|85|Billet à|false|36|4|144
24817|88|Billet à|false|147|1|147
24817|87|Billet à|false|2|201|3
24817|86|Billet à|false|56|2|112
24818|85|Billet à|false|6|4|24
24818|86|Billet à|false|31|2|62
24818|88|Billet à|false|153|1|153
24818|87|Billet à|false|15|201|222
24819|86|Billet à|false|62|2|124
24819|85|Billet à|false|60|4|240
24819|88|Billet à|false|258|1|258
24819|87|Billet à|false|4|201|6
24820|85|Billet à|false|1|4|4
24820|88|Billet à|false|49|1|49
24820|86|Billet à|false|10|2|20
24821|88|Billet à|false|38|1|38
24821|85|Billet à|false|4|4|16
24821|86|Billet à|false|10|2|20
24822|88|Billet à|false|356|1|356
24822|87|Billet à|false|20|201|30
24822|86|Billet à|false|125|2|250
24822|85|Billet à|false|144|4|576
24823|87|Billet à|false|9|201|213
24823|88|Billet à|false|73|1|73
24823|85|Billet à|false|2|4|8
24823|86|Billet à|false|29|2|58
24824|85|Billet à|false|55|4|220
24824|87|Billet à|false|5|201|207
24824|88|Billet à|false|211|1|211
24824|86|Billet à|false|80|2|160
24825|88|Billet à|false|73|1|73
24825|86|Billet à|false|16|2|32
24825|85|Billet à|false|6|4|24
24825|87|Billet à|false|5|201|207
24826|87|Billet à|false|5|201|207
24826|88|Billet à|false|187|1|187
24826|86|Billet à|false|49|2|98
24826|85|Billet à|false|75|4|300
24827|86|Billet à|false|71|2|142
24827|88|Billet à|false|235|1|235
24827|87|Billet à|false|4|201|6
24827|85|Billet à|false|75|4|300
24828|87|Billet à|false|4|201|6
24828|85|Billet à|false|12|4|48
24828|88|Billet à|false|47|1|47
24828|86|Billet à|false|19|2|38
24829|85|Billet à|false|74|4|296
24829|88|Billet à|false|285|1|285
24829|87|Billet à|false|14|201|21
24829|86|Billet à|false|117|2|234
24830|88|Billet à|false|29|1|29
24830|85|Billet à|false|7|4|28
24830|86|Billet à|false|12|2|24
24831|88|Billet à|false|210|1|210
24831|83|Loge basse|true|2|32|64
24831|85|Billet à|false|72|4|288
24831|86|Billet à|false|78|2|156
24831|87|Billet à|false|16|201|24
24832|85|Billet à|false|10|4|40
24832|88|Billet à|false|47|1|47
24832|87|Billet à|false|1|201|201
24832|86|Billet à|false|10|2|20
24833|88|Billet à|false|216|1|216
24833|85|Billet à|false|74|4|296
24833|86|Billet à|false|67|2|134
24833|87|Billet à|false|14|201|21
24834|87|Billet à|false|5|201|207
24834|85|Billet à|false|10|4|40
24834|86|Billet à|false|5|2|10
24834|88|Billet à|false|9|1|9
24835|87|Billet à|false|1|201|201
24835|85|Billet à|false|51|4|204
24835|86|Billet à|false|42|2|84
24835|88|Billet à|false|139|1|139
24836|88|Billet à|false|145|1|145
24836|83|Loge basse|true|2|32|64
24836|86|Billet à|false|44|2|88
24836|85|Billet à|false|43|4|172
24836|87|Billet à|false|14|201|21
24837|85|Billet à|false|9|4|36
24837|88|Billet à|false|67|1|67
24837|86|Billet à|false|17|2|34
24838|85|Billet à|false|35|4|140
24838|88|Billet à|false|115|1|115
24838|87|Billet à|false|3|201|204
24838|86|Billet à|false|34|2|68
24839|87|Billet à|false|2|201|3
24839|85|Billet à|false|14|4|56
24839|88|Billet à|false|44|1|44
24839|86|Billet à|false|12|2|24
24840|85|Billet à|false|16|4|64
24840|88|Billet à|false|79|1|79
24840|86|Billet à|false|13|2|26
24841|87|Billet à|false|2|201|3
24841|86|Billet à|false|13|2|26
24841|85|Billet à|false|5|4|20
24841|88|Billet à|false|30|1|30
24842|88|Billet à|false|142|1|142
24842|85|Billet à|false|51|4|204
24842|86|Billet à|false|27|2|54
24843|86|Billet à|false|38|2|76
24843|87|Billet à|false|8|201|12
24843|88|Billet à|false|55|1|55
24843|85|Billet à|false|5|4|20
24844|88|Billet à|false|35|1|35
24844|86|Billet à|false|16|2|32
24844|85|Billet à|false|1|4|4
24845|88|Billet à|false|69|1|69
24845|85|Billet à|false|17|4|68
24845|86|Billet à|false|14|2|28
24845|87|Billet à|false|3|201|204
24845|83|Loge basse|true|2|32|64
24846|88|Billet à|false|43|1|43
24846|85|Billet à|false|8|4|32
24846|86|Billet à|false|9|2|18
24847|87|Billet à|false|15|201|222
24847|86|Billet à|false|101|2|202
24847|83|Loge basse|true|2|32|64
24847|85|Billet à|false|103|4|412
24847|88|Billet à|false|319|1|319
24848|88|Billet à|false|17|1|17
24848|86|Billet à|false|7|2|14
24848|87|Billet à|false|3|201|204
24848|85|Billet à|false|1|4|4
24849|88|Billet à|false|372|1|372
24849|87|Billet à|false|16|201|24
24849|86|Billet à|false|127|2|254
24849|85|Billet à|false|210|4|840
24849|83|Loge basse|true|1|32|32
24850|88|Billet à|false|100|1|100
24850|87|Billet à|false|3|201|204
24850|86|Billet à|false|19|2|38
24850|85|Billet à|false|3|4|12
24851|88|Billet à|false|302|1|302
24851|87|Billet à|false|9|201|213
24851|85|Billet à|false|182|4|728
24851|86|Billet à|false|104|2|208
24851|83|Loge basse|true|2|32|64
24852|86|Billet à|false|16|2|32
24852|88|Billet à|false|60|1|60
24852|87|Billet à|false|6|201|9
24852|85|Billet à|false|6|4|24
24853|86|Billet à|false|172|2|344
24853|83|Loge basse|true|5|32|160
24853|88|Billet à|false|402|1|402
24853|87|Billet à|false|36|201|54
24853|85|Billet à|false|237|4|948
24854|87|Billet à|false|1|201|201
24854|86|Billet à|false|3|2|6
24854|88|Billet à|false|28|1|28
24855|87|Billet à|false|10|201|15
24855|88|Billet à|false|341|1|341
24855|83|Loge basse|true|3|32|96
24855|85|Billet à|false|126|4|504
24855|86|Billet à|false|127|2|254
24856|85|Billet à|false|15|4|60
24856|86|Billet à|false|21|2|42
24856|88|Billet à|false|145|1|145
24856|87|Billet à|false|8|201|12
24857|85|Billet à|false|108|4|432
24857|83|Loge basse|true|2|32|64
24857|87|Billet à|false|29|201|243
24857|88|Billet à|false|320|1|320
24857|86|Billet à|false|143|2|286
24858|88|Billet à|false|32|1|32
24858|86|Billet à|false|12|2|24
24858|87|Billet à|false|4|201|6
24859|88|Billet à|false|265|1|265
24859|85|Billet à|false|104|4|416
24859|83|Loge basse|true|3|32|96
24859|86|Billet à|false|108|2|216
24859|87|Billet à|false|14|201|21
24860|86|Billet à|false|2|2|4
24860|88|Billet à|false|11|1|11
24860|87|Billet à|false|5|201|207
24861|85|Billet à|false|34|4|136
24861|88|Billet à|false|88|1|88
24861|87|Billet à|false|3|201|204
24861|86|Billet à|false|55|2|110
24861|83|Loge basse|true|2|32|64
24862|84|Loge haute|true|1|20|20
24862|85|Billet à|false|60|4|240
24862|87|Billet à|false|6|201|9
24862|86|Billet à|false|52|2|104
24862|83|Loge basse|true|2|32|64
24862|88|Billet à|false|134|1|134
24863|86|Billet à|false|19|2|38
24863|87|Billet à|false|11|201|216
24863|88|Billet à|false|67|1|67
24864|87|Billet à|false|4|201|6
24864|88|Billet à|false|128|1|128
24864|86|Billet à|false|25|2|50
24864|85|Billet à|false|32|4|128
24865|87|Billet à|false|2|201|3
24865|86|Billet à|false|8|2|16
24865|88|Billet à|false|19|1|19
24866|83|Loge basse|true|1|32|32
24866|86|Billet à|false|26|2|52
24866|85|Billet à|false|41|4|164
24866|87|Billet à|false|8|201|12
24866|88|Billet à|false|112|1|112
24867|88|Billet à|false|17|1|17
24867|86|Billet à|false|5|2|10
24868|86|Billet à|false|12|2|24
24868|85|Billet à|false|25|4|100
24868|88|Billet à|false|99|1|99
24868|87|Billet à|false|5|201|207
24869|88|Billet à|false|54|1|54
24869|85|Billet à|false|1|4|4
24869|86|Billet à|false|4|2|8
24869|87|Billet à|false|2|201|3
24870|85|Billet à|false|6|4|24
24870|86|Billet à|false|19|2|38
24870|87|Billet à|false|7|201|210
24870|88|Billet à|false|68|1|68
24871|87|Billet à|false|9|201|213
24871|86|Billet à|false|100|2|200
24871|85|Billet à|false|81|4|324
24871|83|Loge basse|true|3|32|96
24871|88|Billet à|false|217|1|217
24872|87|Billet à|false|2|201|3
24872|86|Billet à|false|15|2|30
24872|85|Billet à|false|6|4|24
24872|88|Billet à|false|56|1|56
24873|83|Loge basse|true|1|32|32
24873|85|Billet à|false|95|4|380
24873|88|Billet à|false|188|1|188
24873|87|Billet à|false|4|201|6
24873|86|Billet à|false|63|2|126
24874|88|Billet à|false|63|1|63
24874|87|Billet à|false|2|201|3
24874|86|Billet à|false|12|2|24
24874|85|Billet à|false|3|4|12
24875|86|Billet à|false|4|2|8
24875|88|Billet à|false|30|1|30
24876|88|Billet à|false|194|1|194
24876|86|Billet à|false|56|2|112
24876|85|Billet à|false|91|4|364
24877|88|Billet à|false|67|1|67
24877|86|Billet à|false|6|2|12
24877|85|Billet à|false|3|4|12
24877|87|Billet à|false|5|201|207
24878|87|Billet à|false|4|201|6
24878|86|Billet à|false|9|2|18
24878|88|Billet à|false|40|1|40
24879|88|Billet à|false|27|1|27
24879|85|Billet à|false|6|4|24
24879|86|Billet à|false|6|2|12
24880|86|Billet à|false|49|2|98
24880|83|Loge basse|true|1|32|32
24880|88|Billet à|false|243|1|243
24880|87|Billet à|false|13|201|219
24880|85|Billet à|false|65|4|260
24881|85|Billet à|false|2|4|8
24881|86|Billet à|false|10|2|20
24881|87|Billet à|false|1|201|201
24881|88|Billet à|false|75|1|75
24882|85|Billet à|false|60|4|240
24882|86|Billet à|false|44|2|88
24882|87|Billet à|false|7|201|210
24882|88|Billet à|false|141|1|141
24883|88|Billet à|false|126|1|126
24883|87|Billet à|false|2|201|3
24883|85|Billet à|false|32|4|128
24883|86|Billet à|false|54|2|108
24884|85|Billet à|false|36|4|144
24884|88|Billet à|false|139|1|139
24884|87|Billet à|false|5|201|207
24884|86|Billet à|false|55|2|110
24885|88|Billet à|false|61|1|61
24885|86|Billet à|false|6|2|12
24886|88|Billet à|false|41|1|41
24886|86|Billet à|false|13|2|26
24886|87|Billet à|false|8|201|12
24887|85|Billet à|false|16|4|64
24887|88|Billet à|false|78|1|78
24887|86|Billet à|false|30|2|60
24888|88|Billet à|false|26|1|26
24888|86|Billet à|false|2|2|4
24888|85|Billet à|false|1|4|4
24889|87|Billet à|false|12|201|18
24889|88|Billet à|false|82|1|82
24889|86|Billet à|false|28|2|56
24889|85|Billet à|false|20|4|80
24890|88|Billet à|false|36|1|36
24890|86|Billet à|false|10|2|20
24891|88|Billet à|false|55|1|55
24891|86|Billet à|false|11|2|22
24891|85|Billet à|false|1|4|4
24892|86|Billet à|false|13|2|26
24892|88|Billet à|false|90|1|90
24892|85|Billet à|false|9|4|36
24892|87|Billet à|false|5|201|207
24893|86|Billet à|false|40|2|80
24893|87|Billet à|false|5|201|207
24893|88|Billet à|false|71|1|71
24893|85|Billet à|false|3|4|12
24894|87|Billet à|false|1|201|201
24894|88|Billet à|false|88|1|88
24894|86|Billet à|false|19|2|38
24894|85|Billet à|false|9|4|36
24895|87|Billet à|false|5|201|207
24895|88|Billet à|false|132|1|132
24895|85|Billet à|false|44|4|176
24895|86|Billet à|false|53|2|106
24896|85|Billet à|false|4|4|16
24896|86|Billet à|false|10|2|20
24896|88|Billet à|false|45|1|45
24897|85|Billet à|false|34|4|136
24897|86|Billet à|false|31|2|62
24897|88|Billet à|false|113|1|113
24897|87|Billet à|false|2|201|3
24898|87|Billet à|false|5|201|207
24898|88|Billet à|false|62|1|62
24898|86|Billet à|false|18|2|36
24899|86|Billet à|false|18|2|36
24899|88|Billet à|false|84|1|84
24899|87|Billet à|false|4|201|6
24899|85|Billet à|false|8|4|32
24900|86|Billet à|false|6|2|12
24900|88|Billet à|false|40|1|40
24900|87|Billet à|false|1|201|201
24900|85|Billet à|false|8|4|32
24900|84|Loge haute|true|1|20|20
24901|88|Billet à|false|416|1|416
24901|87|Billet à|false|57|201|285
24901|86|Billet à|false|175|2|350
24901|85|Billet à|false|237|4|948
24901|84|Loge haute|true|1|20|20
24901|83|Loge basse|true|3|32|96
24902|86|Billet à|false|3|2|6
24902|87|Billet à|false|5|201|207
24902|88|Billet à|false|49|1|49
24903|85|Billet à|false|13|4|52
24903|86|Billet à|false|15|2|30
24903|88|Billet à|false|72|1|72
24905|87|Billet à|false|8|201|12
24905|85|Billet à|false|19|4|76
24905|88|Billet à|false|185|1|185
24905|86|Billet à|false|71|2|142
24906|86|Billet à|false|25|2|50
24906|85|Billet à|false|15|4|60
24906|88|Billet à|false|144|1|144
24906|87|Billet à|false|4|201|6
24907|85|Billet à|false|1|4|4
24907|88|Billet à|false|51|1|51
24907|87|Billet à|false|2|201|3
24907|86|Billet à|false|10|2|20
24908|88|Billet à|false|145|1|145
24908|85|Billet à|false|11|4|44
24908|86|Billet à|false|21|2|42
24908|87|Billet à|false|7|201|210
24909|88|Billet à|false|115|1|115
24909|87|Billet à|false|1|201|201
24909|85|Billet à|false|22|4|88
24909|86|Billet à|false|39|2|78
24910|87|Billet à|false|2|201|3
24910|86|Billet à|false|13|2|26
24910|85|Billet à|false|2|4|8
24910|88|Billet à|false|51|1|51
24911|85|Billet à|false|43|4|172
24911|88|Billet à|false|158|1|158
24911|87|Billet à|false|4|201|6
24911|86|Billet à|false|46|2|92
24912|85|Billet à|false|4|4|16
24912|86|Billet à|false|36|2|72
24912|87|Billet à|false|7|201|210
24912|88|Billet à|false|89|1|89
24913|86|Billet à|false|34|2|68
24913|88|Billet à|false|147|1|147
24913|87|Billet à|false|1|201|201
24913|85|Billet à|false|27|4|108
24914|88|Billet à|false|43|1|43
24914|86|Billet à|false|21|2|42
24914|85|Billet à|false|6|4|24
24915|85|Billet à|false|54|4|216
24915|88|Billet à|false|118|1|118
24915|87|Billet à|false|5|201|207
24915|86|Billet à|false|31|2|62
24915|84|Loge haute|true|1|20|20
24916|85|Billet à|false|1|4|4
24916|88|Billet à|false|32|1|32
24916|86|Billet à|false|14|2|28
24917|86|Billet à|false|63|2|126
24917|85|Billet à|false|36|4|144
24917|87|Billet à|false|13|201|219
24917|88|Billet à|false|162|1|162
24918|86|Billet à|false|40|2|80
24918|87|Billet à|false|10|201|15
24918|88|Billet à|false|145|1|145
24918|85|Billet à|false|9|4|36
24919|88|Billet à|false|191|1|191
24919|87|Billet à|false|24|201|36
24919|86|Billet à|false|88|2|176
24919|85|Billet à|false|31|4|124
24920|86|Billet à|false|22|2|44
24920|88|Billet à|false|85|1|85
24920|87|Billet à|false|5|201|207
24920|85|Billet à|false|11|4|44
24921|85|Billet à|false|23|4|92
24921|86|Billet à|false|57|2|114
24921|87|Billet à|false|14|201|21
24921|88|Billet à|false|111|1|111
24922|85|Billet à|false|8|4|32
24922|88|Billet à|false|84|1|84
24922|87|Billet à|false|7|201|210
24922|86|Billet à|false|29|2|58
24923|85|Billet à|false|3|4|12
24923|87|Billet à|false|1|201|201
24923|88|Billet à|false|54|1|54
24923|86|Billet à|false|16|2|32
24924|88|Billet à|false|92|1|92
24924|85|Billet à|false|16|4|64
24924|86|Billet à|false|32|2|64
24925|88|Billet à|false|358|1|358
24925|85|Billet à|false|63|4|252
24925|83|Loge basse|true|1|32|32
24925|86|Billet à|false|190|2|380
24925|87|Billet à|false|36|201|54
24926|86|Billet à|false|72|2|144
24926|88|Billet à|false|291|1|291
24926|87|Billet à|false|9|201|213
24926|85|Billet à|false|90|4|360
24927|86|Billet à|false|58|2|116
24927|85|Billet à|false|37|4|148
24927|87|Billet à|false|5|201|207
24927|88|Billet à|false|157|1|157
24928|86|Billet à|false|141|2|282
24928|85|Billet à|false|58|4|232
24928|87|Billet à|false|21|201|231
24928|88|Billet à|false|355|1|355
24929|85|Billet à|false|3|4|12
24929|88|Billet à|false|55|1|55
24929|87|Billet à|false|7|201|210
24929|86|Billet à|false|21|2|42
24930|87|Billet à|false|3|201|204
24930|88|Billet à|false|152|1|152
24930|86|Billet à|false|34|2|68
24930|85|Billet à|false|45|4|180
24930|83|Loge basse|true|1|32|32
24931|87|Billet à|false|53|201|279
24931|88|Billet à|false|397|1|397
24931|85|Billet à|false|85|4|340
24931|86|Billet à|false|206|2|412
24932|87|Billet à|false|10|201|15
24932|88|Billet à|false|188|1|188
24932|83|Loge basse|true|3|32|96
24932|85|Billet à|false|124|4|496
24932|86|Billet à|false|89|2|178
24933|87|Billet à|false|8|201|12
24933|88|Billet à|false|248|1|248
24933|85|Billet à|false|55|4|220
24933|86|Billet à|false|116|2|232
24934|86|Billet à|false|118|2|236
24934|85|Billet à|false|111|4|444
24934|83|Loge basse|true|1|32|32
24934|88|Billet à|false|267|1|267
24934|87|Billet à|false|6|201|9
24935|87|Billet à|false|12|201|18
24935|88|Billet à|false|131|1|131
24935|85|Billet à|false|25|4|100
24935|86|Billet à|false|53|2|106
24936|86|Billet à|false|75|2|150
24936|88|Billet à|false|184|1|184
24936|83|Loge basse|true|1|32|32
24936|85|Billet à|false|92|4|368
24936|87|Billet à|false|15|201|222
24937|86|Billet à|false|94|2|188
24937|85|Billet à|false|64|4|256
24937|87|Billet à|false|9|201|213
24937|88|Billet à|false|255|1|255
24938|86|Billet à|false|111|2|222
24938|85|Billet à|false|54|4|216
24938|88|Billet à|false|284|1|284
24938|87|Billet à|false|19|201|228
24939|86|Billet à|false|65|2|130
24939|85|Billet à|false|60|4|240
24939|88|Billet à|false|203|1|203
24939|83|Loge basse|true|3|32|96
24939|87|Billet à|false|11|201|216
24940|87|Billet à|false|11|201|216
24940|88|Billet à|false|114|1|114
24940|85|Billet à|false|22|4|88
24940|86|Billet à|false|15|2|30
24941|88|Billet à|false|116|1|116
24941|87|Billet à|false|4|201|6
24941|86|Billet à|false|36|2|72
24941|85|Billet à|false|15|4|60
24942|88|Billet à|false|81|1|81
24942|87|Billet à|false|6|201|9
24942|86|Billet à|false|27|2|54
24942|85|Billet à|false|2|4|8
24943|86|Billet à|false|63|2|126
24943|87|Billet à|false|7|201|210
24943|88|Billet à|false|251|1|251
24943|83|Loge basse|true|1|32|32
24943|85|Billet à|false|65|4|260
24944|85|Billet à|false|12|4|48
24944|86|Billet à|false|34|2|68
24944|87|Billet à|false|3|201|204
24944|88|Billet à|false|131|1|131
24945|87|Billet à|false|22|201|33
24945|88|Billet à|false|452|1|452
24945|86|Billet à|false|187|2|374
24945|85|Billet à|false|131|4|524
24945|83|Loge basse|true|1|32|32
24946|88|Billet à|false|186|1|186
24946|87|Billet à|false|6|201|9
24946|85|Billet à|false|32|4|128
24946|86|Billet à|false|40|2|80
24947|87|Billet à|false|42|201|63
24947|86|Billet à|false|177|2|354
24947|88|Billet à|false|378|1|378
24947|84|Loge haute|true|1|20|20
24947|85|Billet à|false|136|4|544
24947|83|Loge basse|true|2|32|64
24948|86|Billet à|false|64|4|256
24948|85|Billet à|false|93|6|558
24948|83|Loge basse|true|2|32|64
24948|1|Irregular Receipts|false|482|1|482
24948|88|Billet à|false|43|201|264
24948|87|Billet à|false|190|2|380
24949|84|Loge haute|true|1|20|20
24949|85|Billet à|false|32|4|128
24949|86|Billet à|false|54|2|108
24949|87|Billet à|false|2|201|3
24949|88|Billet à|false|173|1|173
24950|85|Billet à|false|43|4|172
24950|88|Billet à|false|253|1|253
24950|87|Billet à|false|10|201|15
24950|86|Billet à|false|45|2|90
24951|86|Billet à|false|103|2|206
24951|88|Billet à|false|359|1|359
24951|87|Billet à|false|35|201|252
24951|85|Billet à|false|31|4|124
24952|85|Billet à|false|87|4|348
24952|87|Billet à|false|17|201|225
24952|86|Billet à|false|138|2|276
24952|88|Billet à|false|354|1|354
24953|87|Billet à|false|7|201|210
24953|86|Billet à|false|45|2|90
24953|85|Billet à|false|45|4|180
24953|88|Billet à|false|252|1|252
24954|83|Loge basse|true|1|32|32
24954|86|Billet à|false|32|2|64
24954|88|Billet à|false|103|1|103
24954|85|Billet à|false|26|4|104
24955|86|Billet à|false|31|2|62
24955|88|Billet à|false|225|1|225
24955|87|Billet à|false|12|201|18
24955|85|Billet à|false|10|4|40
24956|86|Billet à|false|76|2|152
24956|87|Billet à|false|5|201|207
24956|88|Billet à|false|240|1|240
24956|85|Billet à|false|50|4|200
24957|86|Billet à|false|43|2|86
24957|87|Billet à|false|4|201|6
24957|88|Billet à|false|255|1|255
24957|85|Billet à|false|38|4|152
24958|83|Loge basse|true|1|32|32
24958|85|Billet à|false|63|4|252
24958|86|Billet à|false|101|2|202
24958|87|Billet à|false|24|201|36
24958|88|Billet à|false|343|1|343
24959|85|Billet à|false|35|4|140
24959|88|Billet à|false|144|1|144
24959|87|Billet à|false|9|201|213
24959|86|Billet à|false|42|2|84
24960|87|Billet à|false|25|201|237
24960|88|Billet à|false|399|1|399
24960|85|Billet à|false|124|4|496
24960|86|Billet à|false|178|2|356
24961|88|Billet à|false|140|1|140
24961|86|Billet à|false|42|2|84
24961|85|Billet à|false|20|4|80
24961|87|Billet à|false|5|201|207
24962|88|Billet à|false|101|1|101
24962|86|Billet à|false|24|2|48
24962|85|Billet à|false|7|4|28
24963|88|Billet à|false|109|1|109
24963|85|Billet à|false|9|4|36
24963|87|Billet à|false|3|201|204
24963|86|Billet à|false|34|2|68
24964|85|Billet à|false|90|4|360
24964|87|Billet à|false|5|201|207
24964|88|Billet à|false|265|1|265
24964|86|Billet à|false|87|2|174
24965|86|Billet à|false|72|2|144
24965|87|Billet à|false|16|201|24
24965|85|Billet à|false|37|4|148
24965|88|Billet à|false|217|1|217
24966|85|Billet à|false|67|4|268
24966|88|Billet à|false|236|1|236
24966|87|Billet à|false|5|201|207
24966|86|Billet à|false|66|2|132
24967|86|Billet à|false|32|2|64
24967|88|Billet à|false|76|1|76
24967|85|Billet à|false|3|4|12
24968|88|Billet à|false|283|1|283
24968|85|Billet à|false|60|4|240
24968|86|Billet à|false|58|2|116
24969|86|Billet à|false|20|2|40
24969|85|Billet à|false|7|4|28
24969|88|Billet à|false|124|1|124
24970|85|Billet à|false|19|4|76
24970|86|Billet à|false|19|2|38
24970|88|Billet à|false|70|1|70
24970|87|Billet à|false|1|201|201
24971|83|Loge basse|true|2|32|64
24971|87|Billet à|false|7|201|210
24971|88|Billet à|false|259|1|259
24971|85|Billet à|false|134|4|536
24971|86|Billet à|false|84|2|168
24972|88|Billet à|false|351|1|351
24972|86|Billet à|false|102|2|204
24972|85|Billet à|false|33|4|132
24972|87|Billet à|false|29|201|243
24973|88|Billet à|false|197|1|197
24973|83|Loge basse|true|2|32|64
24973|84|Loge haute|true|1|20|20
24973|85|Billet à|false|105|4|420
24973|86|Billet à|false|63|2|126
24973|87|Billet à|false|5|201|207
24974|87|Billet à|false|7|201|210
